policy,hour,charging_mw,requests_per_day,lost_rate,lbmp_usd_mwh
queue_aware,18,1.7491713065598429,1475.0952380952378,0.1469045388209409,43.220000000000006
queue_aware,19,1.2406773941892517,1359.3809523809525,0.13452444117248022,48.277142857142856
queue_aware,20,0.7372846329333699,1211.142857142857,0.0258785915017524,48.76714285714286
queue_aware,21,0.48804500577894183,1285.5714285714287,0.03674872684095381,38.78142857142858
queue_aware,22,0.3865263623049962,1211.6666666666667,0.08938359137196505,33.80714285714286
queue_aware,23,0.2831371989062225,903.8095238095239,0.1213655841929983,30.372857142857146
threshold_100,0,0.838801597866071,640.1428571428572,0.16118317769480925,29.715714285714284
threshold_100,1,0.5802330516266024,450.2857142857143,0.15113751141360446,27.798571428571428
threshold_100,2,0.38074888006020496,309.61904761904765,0.08517903146670625,26.164285714285715
threshold_100,3,0.3337717664579339,186.33333333333334,0.008007487008357201,26.005714285714284
threshold_100,4,0.2480465148233518,111.28571428571429,0.0,26.395714285714288
threshold_100,5,0.23645506617701093,114.04761904761904,0.0,29.275714285714287
threshold_100,6,0.24190605177906832,271.3333333333333,0.0,36.074285714285715
threshold_100,7,0.3224959714389894,600.1428571428572,0.00047706809818830333,37.66285714285714
threshold_100,8,0.4842592126041363,862.9047619047619,0.005564404747215615,33.73428571428571
threshold_100,9,0.5013996648970578,924.7619047619047,0.014158509888780167,31.164285714285715
threshold_100,10,0.5534303730123362,937.7142857142857,0.014093877760097758,29.642857142857142
threshold_100,11,0.5325032234207816,1024.6666666666667,0.026663049891081193,29.47142857142857
threshold_100,12,0.5640679528308973,1118.5238095238094,0.042417264908834774,29.41428571428571
threshold_100,13,0.5980066341190979,1164.952380952381,0.05132041028528459,29.632857142857144
threshold_100,14,0.6124188595694292,1213.095238095238,0.06674017107761714,29.705714285714286
threshold_100,15,0.6735148654639275,1247.7142857142856,0.0830060570096137,31.108571428571427
threshold_100,16,0.7678252586621545,1250.4285714285713,0.07594089063461958,33.715714285714284
threshold_100,17,0.772063327009796,1409.857142857143,0.11939652551521616,39.01428571428572
threshold_100,18,0.8294463246074343,1475.0952380952378,0.14350888516562912,43.220000000000006
threshold_100,19,0.809214152729778,1359.3809523809525,0.15442187237119523,48.277142857142856
threshold_100,20,0.7699843334577077,1211.142857142857,0.04681472032795849,48.76714285714286
threshold_100,21,0.8883311064170245,1285.5714285714287,0.07405643637566252,38.78142857142858
threshold_100,22,0.9081393791382911,1211.6666666666667,0.13009838909660887,33.80714285714286
threshold_100,23,0.880283067456659,903.8095238095239,0.16231425182723916,30.372857142857146
threshold_80,0,0.23583469111463493,640.1428571428572,0.11167028481094649,29.715714285714284
threshold_80,1,0.25655408290045495,450.2857142857143,0.1163008355361117,27.798571428571428
threshold_80,2,0.3013218255338093,309.61904761904765,0.07677471854936062,26.164285714285715
threshold_80,3,0.36924941022625873,186.33333333333334,0.010559933943044391,26.005714285714284
threshold_80,4,0.2482597709192277,111.28571428571429,0.0,26.395714285714288
threshold_80,5,0.14984149054008555,114.04761904761904,0.0,29.275714285714287
threshold_80,6,0.12777195169377603,271.3333333333333,0.0,36.074285714285715
threshold_80,7,0.1556149941102141,600.1428571428572,0.0004739619853160664,37.66285714285714
threshold_80,8,0.2105059760765875,862.9047619047619,0.0030346726299595446,33.73428571428571
threshold_80,9,0.2771939936265215,924.7619047619047,0.003287127433256268,31.164285714285715
threshold_80,10,0.34133542767044545,937.7142857142857,0.0034591585523027248,29.642857142857142
threshold_80,11,0.4386993114593048,1024.6666666666667,0.017858797038034373,29.47142857142857
threshold_80,12,0.7079007636401032,1118.5238095238094,0.0454570810230496,29.41428571428571
threshold_80,13,0.9580773935199501,1164.952380952381,0.05474614806188683,29.632857142857144
threshold_80,14,1.0689487771108783,1213.095238095238,0.061397243849180404,29.705714285714286
threshold_80,15,1.248830664297634,1247.7142857142856,0.08187308003002636,31.108571428571427
threshold_80,16,1.3326884048394183,1250.4285714285713,0.07069101150958741,33.715714285714284
threshold_80,17,1.602508783394087,1409.857142857143,0.12456479032292223,39.01428571428572
threshold_80,18,1.6834761624456913,1475.0952380952378,0.1529333712321794,43.220000000000006
threshold_80,19,1.343566180598426,1359.3809523809525,0.13495820098847058,48.277142857142856
threshold_80,20,0.8128109990743391,1211.142857142857,0.026320186626545134,48.76714285714286
threshold_80,21,0.5648693525653409,1285.5714285714287,0.0400153126124348,38.78142857142858
threshold_80,22,0.41722014818668146,1211.6666666666667,0.08650999647767095,33.80714285714286
threshold_80,23,0.2768045153015139,903.8095238095239,0.12061538281682167,30.372857142857146
