label,policy,metric,n_seeds,baseline_mean,diff_mean,ci95_low,ci95_high,rel_diff
E2_chargers_36,queue_aware,peak_charging_mw,4,3.1787944150559393,-0.03366849258632243,-0.14281704039913856,0.07548005522649369,-0.010591591713781824
E2_chargers_36,queue_aware,empty_km_share,4,0.3145290441975091,0.000488357348025284,-0.00025192139238699887,0.0012286360884375667,0.0015526621691528718
E2_chargers_36,queue_aware,sessions_per_vehicle_day,4,1.0282467532467532,-0.0009090909090908594,-0.0019492182988757258,0.0001310364806940069,-0.0008841174613198128
E2_chargers_36,queue_aware,grid_mwh_per_day,4,15.116730308354933,-0.0033376161232339108,-0.020854706845529106,0.014179474599061284,-0.00022078955271096084
E2_chargers_48,orchestrated,service_rate,4,0.9346343594504049,0.02816804164236758,0.02552179566882846,0.0308142876159067,0.030138033507489816
E2_chargers_48,orchestrated,wait_mean_min,4,6.84343974312867,-0.4663261291583267,-0.5903429725420499,-0.34230928577460357,-0.06814206695201099
E2_chargers_48,orchestrated,wait_p95_min,4,9.815741966796631,-0.08769679389246487,-0.11546570169383173,-0.05992788609109802,-0.008934301063446224
E2_chargers_48,orchestrated,queue_wait_mean_min,4,1.1207560598806938,9.233116082322981,7.464004949610368,11.002227215035594,8.23829235713065
E2_chargers_48,orchestrated,energy_cost_usd_per_day,4,534.3042317842301,-82.95002587905874,-107.88584694606664,-58.01420481205085,-0.15524867845807505
E2_chargers_48,orchestrated,avg_price_usd_mwh,4,35.169327893901226,-6.5849015836047435,-8.37363932899678,-4.796163838212706,-0.1872342173688978
E2_chargers_48,orchestrated,peak_charging_mw,4,4.006259142089867,0.9341046062454992,0.5148648422771391,1.3533443702138592,0.2331613041282754
E2_chargers_48,orchestrated,empty_km_share,4,0.3146457044673175,0.015257870339249135,0.013604445733714983,0.016911294944783287,0.04849222513645974
E2_chargers_48,orchestrated,sessions_per_vehicle_day,4,1.0342207792207794,0.4828571428571428,0.4592396321673541,0.5064746535469316,0.46688014064167754
E2_chargers_48,orchestrated,grid_mwh_per_day,4,15.193261370890877,0.5969422253048027,0.41777537283664123,0.7761090777729641,0.039289933262683034
E2_chargers_48,queue_aware,service_rate,4,0.9346343594504049,-0.001043644757474843,-0.0043480892702554615,0.0022607997553057754,-0.0011166342719184216
E2_chargers_48,queue_aware,wait_mean_min,4,6.84343974312867,-0.010015620677625625,-0.043503092516966456,0.023471851161715206,-0.0014635360364913075
E2_chargers_48,queue_aware,wait_p95_min,4,9.815741966796631,-0.0013113804348905411,-0.006760607245135811,0.004137846375354729,-0.00013359972575955053
E2_chargers_48,queue_aware,queue_wait_mean_min,4,1.1207560598806938,-0.5742068908095236,-1.4951565615085989,0.3467427798895517,-0.5123388678091545
E2_chargers_48,queue_aware,energy_cost_usd_per_day,4,534.3042317842301,-0.13538853130683037,-7.627780037972837,7.357002975359176,-0.0002533922122509125
E2_chargers_48,queue_aware,avg_price_usd_mwh,4,35.169327893901226,0.034000902187276694,-0.4948683000510834,0.5628701044256368,0.0009667771385865138
E2_chargers_48,queue_aware,peak_charging_mw,4,4.006259142089867,0.050436061839157165,-0.10450941257608404,0.20538153625439837,0.012589315880561627
E2_chargers_48,queue_aware,empty_km_share,4,0.3146457044673175,7.475434861577146e-05,-0.0005977124869322127,0.0007472211841637556,0.00023758261293389517
E2_chargers_48,queue_aware,sessions_per_vehicle_day,4,1.0342207792207794,-0.0016233766233766933,-0.007876673773928838,0.004629920527175451,-0.0015696615809632118
E2_chargers_48,queue_aware,grid_mwh_per_day,4,15.193261370890877,-0.019091871256817772,-0.11058063623758865,0.07239689372395311,-0.0012566012517494323
E2_chargers_72,orchestrated,service_rate,4,0.9340625515003074,0.029435383139770482,0.02511914360302483,0.03375162267651613,0.03151328901098847
E2_chargers_72,orchestrated,wait_mean_min,4,6.8364425122232335,-0.46272841018038435,-0.5568256463645547,-0.36863117399621403,-0.06768555566042543
E2_chargers_72,orchestrated,wait_p95_min,4,9.813128186798581,-0.09020839226472166,-0.11424527652175742,-0.0661715080076859,-0.009192623447646117
E2_chargers_72,orchestrated,queue_wait_mean_min,4,0.049521004564144815,3.517115464226854,3.058886785543125,3.9753441429105827,71.02270026996557
E2_chargers_72,orchestrated,energy_cost_usd_per_day,4,531.8698277575219,-75.93937136972558,-92.80247546694906,-59.076267272502086,-0.142778114881798
E2_chargers_72,orchestrated,avg_price_usd_mwh,4,35.064857923819304,-5.998650820150216,-7.1161694014166255,-4.881132238883806,-0.17107301085270835
E2_chargers_72,orchestrated,peak_charging_mw,4,4.413938856797667,2.7917519220992206,1.834174148492476,3.749329695705965,0.6324854087636024
E2_chargers_72,orchestrated,empty_km_share,4,0.3143961827964742,0.015836269057895397,0.01513002297297026,0.016542515142820534,0.05037042408414697
E2_chargers_72,orchestrated,sessions_per_vehicle_day,4,1.032857142857143,0.5625324675324676,0.5209884901019963,0.6040764449629388,0.5446372438073682
E2_chargers_72,orchestrated,grid_mwh_per_day,4,15.168536845765198,0.5173957973765546,0.502744344353889,0.5320472503992202,0.03410980258923278
E2_chargers_72,queue_aware,service_rate,4,0.9340625515003074,0.0014628166344113624,-0.0006595976792851681,0.003585230948107893,0.0015660799504934237
E2_chargers_72,queue_aware,wait_mean_min,4,6.8364425122232335,-0.020348889245684454,-0.07874423282990625,0.038046454338537344,-0.0029765319037352556
E2_chargers_72,queue_aware,wait_p95_min,4,9.813128186798581,-0.0007341374440934523,-0.009584925964885735,0.00811665107669883,-7.481176543490727e-05
E2_chargers_72,queue_aware,queue_wait_mean_min,4,0.049521004564144815,-0.02473910799262142,-0.11320127228010021,0.06372305629485739,-0.49956797545527826
E2_chargers_72,queue_aware,energy_cost_usd_per_day,4,531.8698277575219,1.5528248998030563,-3.5532930522185096,6.658942851824622,0.0029195581677383385
E2_chargers_72,queue_aware,avg_price_usd_mwh,4,35.064857923819304,0.031160453182819126,-0.26334071676941045,0.3256616231350487,0.0008886519161297402
E2_chargers_72,queue_aware,peak_charging_mw,4,4.413938856797667,0.23959154677036043,-0.3716186692985879,0.8508017628393088,0.05428066734576047
E2_chargers_72,queue_aware,empty_km_share,4,0.3143961827964742,0.00011866506785876418,-0.0002690314852043779,0.0005063616209219062,0.0003774380045052346
E2_chargers_72,queue_aware,sessions_per_vehicle_day,4,1.032857142857143,0.0020129870129869665,-0.00023500059695432578,0.004260974622928258,0.0019489500817301195
E2_chargers_72,queue_aware,grid_mwh_per_day,4,15.168536845765198,0.03068112250702182,-0.003948919059174348,0.06531116407321799,0.0020226817404334864
E3_fleet_450,orchestrated,service_rate,4,0.8648003913190025,0.032448052537350724,0.01814151746078809,0.04675458761391336,0.03752085783386455
E3_fleet_450,orchestrated,wait_mean_min,4,7.4593252882078955,-0.2563275583191267,-0.3097915642168598,-0.2028635524213935,-0.034363370467881744
E3_fleet_450,orchestrated,wait_p95_min,4,9.881608396169218,-0.02368427202380774,-0.030114973389840812,-0.017253570657774667,-0.0023968033415480592
E3_fleet_450,orchestrated,queue_wait_mean_min,4,4.160626170206351,7.731499490818664,4.943313840321416,10.519685141315913,1.8582538239515067
E3_fleet_450,orchestrated,energy_cost_usd_per_day,4,431.0417779603807,-24.50845811495492,-26.12494457215353,-22.891971657756308,-0.05685866050136704
E3_fleet_450,orchestrated,avg_price_usd_mwh,4,32.30069707563783,-3.4265485473795056,-3.7555357434321435,-3.097561351326868,-0.10608280494243306
E3_fleet_450,orchestrated,peak_charging_mw,4,3.1812263294185565,0.4175053443795028,0.20131954387343057,0.6336911448855751,0.13124037749801087
E3_fleet_450,orchestrated,empty_km_share,4,0.30927412814590194,0.017514001156746534,0.015091788449644247,0.01993621386384882,0.056629376862988676
E3_fleet_450,orchestrated,sessions_per_vehicle_day,4,1.1082539682539683,0.4306349206349205,0.41164189981448074,0.4496279414553602,0.38857061014036076
E3_fleet_450,orchestrated,grid_mwh_per_day,4,13.345056697850499,0.7344259951203056,0.5741286221937164,0.8947233680468948,0.05503356124658506
E3_fleet_500,orchestrated,service_rate,4,0.9027957665508608,0.03323934322188821,0.02574595828619859,0.04073272815757782,0.036818231158614545
E3_fleet_500,orchestrated,wait_mean_min,4,7.192720476719676,-0.3972996842820584,-0.4932062922682643,-0.30139307629585255,-0.05523635814404004
E3_fleet_500,orchestrated,wait_p95_min,4,9.857101491451498,-0.04626320090758451,-0.05883053821940279,-0.033695863595766234,-0.004693387903909272
E3_fleet_500,orchestrated,queue_wait_mean_min,4,5.381169792398572,8.114477273547234,7.042813973132168,9.186140573962298,1.5079392746554336
E3_fleet_500,orchestrated,energy_cost_usd_per_day,4,459.75487134522996,-26.54694442053959,-35.59056750317919,-17.50332133789999,-0.05774151852456499
E3_fleet_500,orchestrated,avg_price_usd_mwh,4,31.998626391219535,-3.105844535278144,-3.4983302785472215,-2.7133587920090663,-0.09706180813218881
E3_fleet_500,orchestrated,peak_charging_mw,4,3.1117582586935075,0.5444349665670032,0.2862538308088959,0.8026161023251105,0.17496055969193053
E3_fleet_500,orchestrated,empty_km_share,4,0.31308511002296074,0.013906885705015151,0.013524630673632571,0.014289140736397732,0.04441886649925722
E3_fleet_500,orchestrated,sessions_per_vehicle_day,4,1.0740714285714286,0.3114999999999999,0.29061521545131164,0.33238478454868814,0.29001795570925043
E3_fleet_500,orchestrated,grid_mwh_per_day,4,14.368013553661836,0.6255442839902838,0.4541258667429311,0.7969627012376366,0.043537283818253183
E3_fleet_550,orchestrated,service_rate,4,0.9313891544515414,0.030997329678217472,0.025876729729018177,0.03611792962741677,0.03328075008181793
E3_fleet_550,orchestrated,wait_mean_min,4,6.852702700580162,-0.4683003501627514,-0.6275307920677603,-0.3090699082577425,-0.06833805151405507
E3_fleet_550,orchestrated,wait_p95_min,4,9.818309850400546,-0.09101066156197746,-0.11674709865994429,-0.06527422446401063,-0.009269483541331159
E3_fleet_550,orchestrated,queue_wait_mean_min,4,5.500699172452984,12.416656509765113,9.918625984255339,14.914687035274888,2.257286959437199
E3_fleet_550,orchestrated,energy_cost_usd_per_day,4,543.8175957055702,-84.35496986376711,-105.63732653971024,-63.072613187823976,-0.15511629364313173
E3_fleet_550,orchestrated,avg_price_usd_mwh,4,35.97968421738328,-7.125806499265012,-8.87927677763027,-5.372336220899754,-0.19805083491595069
E3_fleet_550,orchestrated,peak_charging_mw,4,3.1787944150559393,0.40360287641171655,0.2965226266288996,0.5106831261945335,0.12696727869537738
E3_fleet_550,orchestrated,empty_km_share,4,0.3145290441975091,0.012956432883194369,0.011796288639241165,0.014116577127147572,0.04119312070607493
E3_fleet_550,orchestrated,sessions_per_vehicle_day,4,1.0282467532467532,0.3350649350649352,0.3097552935657447,0.36037457656412564,0.32586043574360607
E3_fleet_550,orchestrated,grid_mwh_per_day,4,15.116730308354933,0.8069428609142641,0.5548581316283141,1.0590275902002142,0.053380780397218
