reference,variant,metric,variant_mean,diff_mean,diff_sd,n_seeds
orchestrated,threshold_80,avg_price_usd_mwh,36.11864966394899,7.302775159594563,0.8966712617889767,6
orchestrated,threshold_80,peak_charging_mw,3.170871105306168,-0.41426472385316226,0.05845784127662367,6
orchestrated,threshold_80,queue_wait_mean_min,5.609276098477342,-12.355473045090408,1.2256140175124224,6
orchestrated,threshold_80,sessions_per_vehicle_day,1.0291341991341991,-0.3305194805194806,0.01429539223538252,6
orchestrated,orch_no_topups,service_rate,0.9514536022793423,-0.01060870009250392,0.002399655086416193,6
orchestrated,orch_no_topups,wait_mean_min,6.574496275296468,0.18836369199608574,0.04365921194417274,6
orchestrated,orch_no_topups,energy_cost_usd_per_day,527.714248119116,69.99297437922426,5.3440861330844465,6
orchestrated,orch_no_topups,avg_price_usd_mwh,34.379082630009826,5.5632081256553905,0.05573955407730941,6
orchestrated,orch_no_topups,peak_charging_mw,3.6020655523594716,0.0169297232001413,0.1487656350878233,6
orchestrated,orch_no_topups,queue_wait_mean_min,4.314086539139946,-13.650662604427806,1.7987650142854068,6
orchestrated,orch_no_topups,sessions_per_vehicle_day,1.215064935064935,-0.14458874458874468,0.015342421304793708,6
orchestrated,orch_no_scarce_trigger,service_rate,0.9592469921732311,-0.0028153101986151583,0.0006188796940286945,6
orchestrated,orch_no_scarce_trigger,wait_mean_min,6.350456620939947,-0.03567596236043643,0.015650711074338214,6
orchestrated,orch_no_scarce_trigger,energy_cost_usd_per_day,480.6654804491175,22.94420670922588,1.0256003769022928,6
orchestrated,orch_no_scarce_trigger,avg_price_usd_mwh,30.251585246086307,1.435710741731875,0.06207562024540066,6
orchestrated,orch_no_scarce_trigger,peak_charging_mw,3.4298594669047286,-0.15527636225460154,0.08153939443163495,6
orchestrated,orch_no_scarce_trigger,queue_wait_mean_min,2.417307832280093,-15.547441311287656,1.319539648563825,6
orchestrated,orch_no_scarce_trigger,sessions_per_vehicle_day,1.5619913419913418,0.20233766233766218,0.010491706159049895,6
orchestrated,orch_no_preemption,service_rate,0.9580488776148113,-0.004013424757034756,0.0006125813822975412,6
orchestrated,orch_no_preemption,wait_mean_min,6.411321507232994,0.02518892393261189,0.01451039946350727,6
orchestrated,orch_no_preemption,energy_cost_usd_per_day,450.6780140772844,-7.043259662607265,1.4923967588137377,6
orchestrated,orch_no_preemption,avg_price_usd_mwh,28.496914237286763,-0.3189602670676699,0.07458656334458327,6
orchestrated,orch_no_preemption,peak_charging_mw,3.6196315627628253,0.03449573360349493,0.06159229106425231,6
orchestrated,orch_no_preemption,queue_wait_mean_min,30.784419144182078,12.819670000614328,1.1006160608230924,6
orchestrated,orch_no_preemption,sessions_per_vehicle_day,1.2348051948051946,-0.12484848484848499,0.007253530632711232,6
orchestrated,orch_no_price_signal,service_rate,0.9614967858688299,-0.0005655165030161354,0.0005338272997828518,6
orchestrated,orch_no_price_signal,wait_mean_min,6.39852571985467,0.012393136554287013,0.010367555134789815,6
orchestrated,orch_no_price_signal,energy_cost_usd_per_day,458.2339373186788,0.5126635787871408,2.2357449089747745,6
orchestrated,orch_no_price_signal,avg_price_usd_mwh,28.862849776863204,0.04697527250877265,0.07915265244386079,6
orchestrated,orch_no_price_signal,peak_charging_mw,3.630103186975591,0.0449673578162609,0.09418963922964863,6
orchestrated,orch_no_price_signal,queue_wait_mean_min,20.757701446415645,2.7929523028478918,0.9570032935696625,6
orchestrated,orch_no_price_signal,sessions_per_vehicle_day,1.331341991341991,-0.028311688311688437,0.0068916878760632225,6
orchestrated,orch_no_reserve,service_rate,0.9617306573337845,-0.00033164503806165646,0.0006066856949936678,6
orchestrated,orch_no_reserve,wait_mean_min,6.383438690283453,-0.0026938930169294237,0.0138058747516552,6
orchestrated,orch_no_reserve,energy_cost_usd_per_day,452.59093217297203,-5.130341566919658,1.8552424574317559,6
orchestrated,orch_no_reserve,avg_price_usd_mwh,28.59525949685809,-0.22061500749634178,0.08668590164377818,6
orchestrated,orch_no_reserve,peak_charging_mw,3.727278959046167,0.14214312988683653,0.1189067539371665,6
orchestrated,orch_no_reserve,queue_wait_mean_min,17.483242020581542,-0.48150712298621023,0.9582692871224956,6
orchestrated,orch_no_reserve,sessions_per_vehicle_day,1.4147186147186146,0.05506493506493493,0.0069229428567097046,6
orchestrated,orch_topups_only,service_rate,0.9444142308765966,-0.017648071495249513,0.0007342957370165313,6
orchestrated,orch_topups_only,wait_mean_min,6.384586642073571,-0.001545941226811583,0.00902959208668339,6
orchestrated,orch_topups_only,energy_cost_usd_per_day,465.32557567014055,7.604301930248927,2.9851295489407907,6
orchestrated,orch_topups_only,avg_price_usd_mwh,29.807165470476594,0.9912909661221629,0.12623109939268268,6
orchestrated,orch_topups_only,peak_charging_mw,3.239725876602691,-0.34540995255663937,0.10558211039537911,6
orchestrated,orch_topups_only,queue_wait_mean_min,18.899453862896916,0.9347047193291633,1.0484055041659106,6
orchestrated,orch_topups_only,sessions_per_vehicle_day,1.3803030303030301,0.020649350649350584,0.013649344470941517,6
