month,mean,std,size,effect,se,year,outcome
5,0.06702949386573252,0.17000717336166785,31,-0.07233262531271405,0.030534189718340637,2016,sessions
6,0.13166206384516502,0.22223111808841675,30,-0.0077000553332815524,0.04057366545220673,2016,sessions
7,0.21745775474858348,0.1873812855044011,31,0.0780956355701369,0.0336546723771833,2016,sessions
8,0.369362789405546,0.10132152785192,31,0.23000067022709944,0.018197883611658378,2016,sessions
9,0.16900040304786965,0.13231740150068494,30,0.029638283869423077,0.024157741850797686,2016,sessions
10,0.2635787949144409,0.12359837728679698,31,0.12421667573599435,0.02219892388261445,2016,sessions
11,0.18852259040851602,0.1565476810301499,30,0.04916047123006945,0.028581565408445562,2016,sessions
12,0.1912403618925821,0.331958420682449,31,0.05187824271413552,0.05962149240700246,2016,sessions
2,0.34789775499978504,0.16375877118815604,29,0.052945931194815055,0.030409240395243096,2016,energy_kwh
3,0.3330302780096079,0.20651502282675602,31,0.0380784542046379,0.03709119304786583,2016,energy_kwh
4,0.23937976784984022,0.18782183001658803,30,-0.05557205595512976,0.03429141769732873,2016,energy_kwh
5,0.16979950879700886,0.2184845465574351,31,-0.12515231500796112,0.039240982972631094,2016,energy_kwh
6,0.3061001557092581,0.2289627447808326,30,0.0111483319042881,0.04180268671492008,2016,energy_kwh
7,0.3754863206365388,0.23034960815102246,31,0.08053449683156882,0.04137201094371364,2016,energy_kwh
8,0.4888774480423328,0.15944904659996545,31,0.19392562423736281,0.028637894172468103,2016,energy_kwh
9,0.27805389570457695,0.16194800699194356,30,-0.016897928100393034,0.02956752552416395,2016,energy_kwh
10,0.37939604629518237,0.16553179899139484,31,0.08444422249021238,0.029730388752884866,2016,energy_kwh
11,0.25072875400953537,0.1377325655624537,30,-0.04422306979543461,0.02514641102053837,2016,energy_kwh
12,0.20924422019573308,0.22688889316520336,31,-0.0857076036092369,0.040750448183457015,2016,energy_kwh
2,0.2067217708021623,0.14960147347669744,29,0.04086970189996175,0.02778029620904059,2016,users
3,0.18600434096279644,0.16110433252995784,31,0.02015227206059589,0.028935192301865056,2016,users
4,0.11404231958924642,0.13365743370903063,30,-0.05180974931295414,0.024402397140229154,2016,users
5,0.10388790116195899,0.17764097289219768,31,-0.06196416774024156,0.0319052605886333,2016,users
6,0.13631823864140677,0.2226875532473814,30,-0.029533830260793786,0.0406569987297412,2016,users
7,0.2481506107790574,0.1754323334641212,31,0.08229854187685684,0.03150857723708538,2016,users
8,0.3656053044046261,0.11018216176036719,31,0.19975323550242552,0.01978930044093372,2016,users
9,0.17520401452005332,0.12141325131024361,30,0.00935194561785277,0.022166925507554697,2016,users
10,0.2547274539953059,0.11711542294301716,31,0.08887538509310533,0.02103455090967408,2016,users
11,0.19653452848381384,0.13096940506452076,30,0.03068245958161328,0.023911632498956455,2016,users
12,0.19301552819587003,0.2970388768635911,31,0.02716345929366948,0.05334975719277928,2016,users
2,0.17799710487582132,0.13127401037276742,29,0.022407400249297882,0.024376971750028863,2016,mean_energy
3,0.17238424481938022,0.18885109535506078,31,0.016794540192856783,0.03391865801933296,2016,mean_energy
4,0.1497866616636228,0.17134350560223963,30,-0.005803042962900629,0.031282901033453145,2016,mean_energy
5,0.10277001493127635,0.15055693179639096,31,-0.052819689695247085,0.02704082320751535,2016,mean_energy
6,0.17443809186409312,0.13390212338835233,30,0.01884838723756968,0.024447071159213553,2016,mean_energy
7,0.15802856588795525,0.14859363114776475,31,0.0024388612614318073,0.026688204001549476,2016,mean_energy
8,0.11951465863678687,0.16605899895793733,31,-0.03607504598973657,0.029825076662104235,2016,mean_energy
9,0.10905349265670725,0.14536244268091983,30,-0.046536211969816194,0.02653942962346384,2016,mean_energy
10,0.11581725138074145,0.15478912292935612,31,-0.03977245324578199,0.027800947174186595,2016,mean_energy
11,0.06220616360101931,0.1444305366569568,30,-0.09338354102550413,0.026369287639864007,2016,mean_energy
12,0.018003858303150815,0.232291539688146,31,-0.13758584632337262,0.041720792143954036,2016,mean_energy
2,0.15660977583017913,0.1746955276043844,29,0.04450244599451014,0.03244014507651466,2016,mean_connected_h
3,0.11839379124036355,0.1686579996395227,31,0.006286461404694563,0.03029187096448817,2016,mean_connected_h
4,0.10865810950279228,0.20028110952235112,30,-0.0034492203328767013,0.03656616050918481,2016,mean_connected_h
5,0.09819184647635874,0.1646136240206404,31,-0.01391548335931024,0.029565479659949087,2016,mean_connected_h
6,0.1078310883103373,0.17253272466409725,30,-0.004276241525331681,0.031500021735451335,2016,mean_connected_h
7,0.08558128475497688,0.2152804032055771,31,-0.026526045080692104,0.038665501838183555,2016,mean_connected_h
8,0.05784990437773121,0.1760318558634464,31,-0.054257425457937776,0.031616254638688,2016,mean_connected_h
9,0.03583946490404807,0.1750521277404107,30,-0.07626786493162091,0.0319599997008996,2016,mean_connected_h
10,0.07305940412393902,0.1726731223707912,31,-0.039047925711729964,0.031013008295312214,2016,mean_connected_h
11,0.07927180938168096,0.16693507629695498,30,-0.03283552045398802,0.030478035642229406,2016,mean_connected_h
12,0.017945381531923058,0.1986909310538808,31,-0.09416194830374593,0.03568594468191337,2016,mean_connected_h
2,0.48688750313957824,0.5320462330227158,29,0.18052406478790695,0.09879850516697976,2016,mean_idle_h
3,0.2688555734017431,0.41759995566492525,31,-0.037507864949928194,0.07500316616356671,2016,mean_idle_h
4,0.24236016675820454,0.5241057602590063,30,-0.06400327159346675,0.0956881824707508,2016,mean_idle_h
5,0.3366260761356236,0.4339038388056696,31,0.03026263778395233,0.07793143001926935,2016,mean_idle_h
6,0.277153057343067,0.4611412713387532,30,-0.02921038100860429,0.08419249216961522,2016,mean_idle_h
7,0.23493807516967372,0.6357839593962802,31,-0.07142536318199758,0.1141901700511477,2016,mean_idle_h
8,0.21340887955259333,0.4263764761662916,31,-0.09295455879907796,0.0765794757789588,2016,mean_idle_h
9,0.06426099791013591,0.5499491115397487,30,-0.2421024404415354,0.10040651129008167,2016,mean_idle_h
10,0.1778286837116798,0.5439825023064275,31,-0.12853475463999148,0.0977021416240267,2016,mean_idle_h
11,0.27347756734380635,0.42969935988806685,30,-0.03288587100786494,0.07845201078540825,2016,mean_idle_h
12,0.016483389815592116,0.4838140174907529,31,-0.2898800485360792,0.08689556273621404,2016,mean_idle_h
