policy,seed,fleet,chargers,sites,battery_kwh,sample_frac,requests,service_rate,lost_rate,wait_mean_min,wait_p50_min,wait_p95_min,trips_per_vehicle_day,util_with_rider,share_charging_or_queued,share_idle,empty_km_share,charge_km_per_vehicle_day,sessions_per_vehicle_day,queue_wait_mean_min,queue_wait_p95_min,grid_mwh_per_day,energy_cost_usd_per_day,avg_price_usd_mwh,peak_charging_mw,depletions,energy_residual_kwh,runtime_s,events,label
orch_no_preemption,0,550,36,6,40.0,0.2,149106,0.9568293697101391,0.04317063028986091,6.461583534094924,6.326280054659582,9.74692176650482,37.056883116883114,0.3583764879068531,0.049840240565299815,0.4216209325737073,0.3266611444167875,5.120995705876182,1.2257142857142858,31.216918459534817,133.04859987899982,15.896765832301911,455.1115897717115,28.62919379783112,3.519387010423329,0,-6.112531991675496e-08,10.81819925000309,570056,E8_ablation
orch_no_preemption,1,550,36,6,40.0,0.2,149094,0.957161253974003,0.04283874602599702,6.4080249331679475,6.200513103325405,9.741010459818837,37.066753246753244,0.3585420434074564,0.049512457789069604,0.4224901488344264,0.3253341164515907,5.164695489418833,1.2303896103896104,30.839908488636055,136.16592737308235,15.747619567780232,448.2426502695859,28.464152841658326,3.670106156316022,0,-6.151094567030668e-08,10.370405749999918,568025,E8_ablation
orch_no_preemption,2,550,36,6,40.0,0.2,148774,0.9606113971527283,0.0393886028472717,6.4020885690979075,6.233785251822944,9.725714629639212,37.12051948051948,0.3599233575481702,0.05091266106035315,0.41890876246775616,0.3248504445620077,4.992961739862515,1.248051948051948,31.943253444044082,139.15123303045928,15.843778152618125,451.27376024550944,28.482711377206336,3.666384898291008,0,-6.00521161686629e-08,10.704696582979523,566758,E8_ablation
orch_no_preemption,3,550,36,6,40.0,0.2,148559,0.9584003661844789,0.041599633815521106,6.380801628088815,6.1826261473839015,9.72160425744621,36.98155844155844,0.3583802331082817,0.048577389272209934,0.423875130647923,0.3249246130599774,5.13902459480379,1.237142857142857,29.487261479577565,134.31884313978694,15.869833108526482,453.3288074822999,28.565442647203213,3.6865840255179823,0,-6.338086677715182e-08,10.513882084022043,565787,E8_ablation
orch_no_preemption,4,550,36,6,40.0,0.2,148727,0.9577010226791369,0.04229897732086306,6.406958470926728,6.220030484025968,9.736073247855288,36.99636363636364,0.35861369239315966,0.050540034639692984,0.4213822097157556,0.3251643940739029,5.105490587168346,1.2353246753246752,31.819752860212255,142.06587806044288,15.763868591539202,447.4502648225377,28.38454673890733,3.566333520445986,0,-6.254413165152073e-08,10.655713707994437,567613,E8_ablation
orch_no_preemption,5,550,36,6,40.0,0.2,148738,0.9575898559883823,0.042410144011617745,6.408471908021643,6.2277080973396854,9.742224421802359,36.99480519480519,0.3581812387158626,0.04821797394729974,0.4243200255000225,0.3246535583220063,5.016196208374189,1.232207792207792,29.3994201330877,130.04483809748217,15.767144808746355,448.661011872062,28.455438020914258,3.608993765582624,0,-6.059417501091957e-08,10.546607832977315,566556,E8_ablation
orch_no_price_signal,0,550,36,6,40.0,0.2,149106,0.9604308344399286,0.03956916556007136,6.457812028153973,6.324283458697027,9.750877331870774,37.196363636363635,0.3594656564066624,0.04363336167847743,0.42600124515549054,0.32798493879042595,5.432125228893017,1.3158441558441558,21.9913847230404,113.42353479291147,15.9255750364664,459.3801212001595,28.845433847648852,3.486507630968799,0,-6.121081241872162e-08,10.910311167011969,571626,E8_ablation
orch_no_price_signal,1,550,36,6,40.0,0.2,149094,0.9607764229278174,0.03922357707218265,6.395028682004803,6.192163276897433,9.732825474869363,37.206753246753244,0.3597785695799508,0.04230952500721597,0.4274983827290742,0.32675234024977245,5.417277235483878,1.3316883116883118,20.341547350628456,105.00401355840083,15.84540180011314,457.0585039860566,28.844866779130406,3.7377637799674264,0,-6.047594069968909e-08,10.776213916979032,568919,E8_ablation
orch_no_price_signal,2,550,36,6,40.0,0.2,148774,0.9639587562342883,0.03604124376571175,6.380605373967963,6.18861251902587,9.725161185855999,37.24987012987013,0.36104203252288936,0.04317418060094851,0.4250532010915415,0.3263779103768008,5.471797951281461,1.3618181818181818,20.396073129028846,110.43752203305097,15.94714096580385,461.5392970675517,28.94182086038184,3.586525738240215,0,-5.9279045672155917e-08,10.944681416003732,567499,E8_ablation
orch_no_price_signal,3,550,36,6,40.0,0.2,148559,0.9623987775900484,0.037601222409951604,6.372322142018566,6.177490914200704,9.721153213403692,37.135844155844154,0.3594930156960668,0.04292584225376106,0.4277480040256662,0.3262199006764192,5.495512790826525,1.3376623376623376,20.757809790054964,109.39368284250409,15.91344698092325,459.317528150052,28.863484366440122,3.615434041206056,0,-6.180562195368111e-08,10.835013500007335,566716,E8_ablation
orch_no_price_signal,4,550,36,6,40.0,0.2,148727,0.9601551836586497,0.03984481634135026,6.401243246272707,6.2087058725795945,9.735826103018674,37.09116883116883,0.35921774297493664,0.042927895064969225,0.42789133088562487,0.3267645367803008,5.429841805801948,1.33012987012987,20.951228183393333,110.80078988015109,15.853228664287114,457.6961815771539,28.870849671664374,3.6547273841570704,0,-6.188201950863004e-08,11.071049249992939,568704,E8_ablation
orch_no_price_signal,5,550,36,6,40.0,0.2,148738,0.9612607403622477,0.03873925963775229,6.384142846710003,6.180720547495487,9.737885470617037,37.136623376623376,0.35942349809532087,0.04168668238698756,0.42883765930226536,0.326332058477093,5.3895755466613755,1.3109090909090908,20.108165502347855,104.85767973202367,15.772365434100845,454.4119919310992,28.810643135913644,3.69966054731398,0,-5.876063369214535e-08,10.75401200001943,567086,E8_ablation
orch_no_reserve,0,550,36,6,40.0,0.2,149106,0.9607728729896852,0.03922712701031481,6.439162492596363,6.282902219614091,9.748307974707567,37.20961038961038,0.3595887905806225,0.042186059339455205,0.4270598297150529,0.32944062202096347,5.6943006030865675,1.3992207792207794,18.38464973157094,109.98164595113236,15.933682644502804,458.0052759122976,28.74447082516179,3.562921417771813,0,-6.055597623344511e-08,10.749078041990288,572480,E8_ablation
orch_no_reserve,1,550,36,6,40.0,0.2,149094,0.9614940909761627,0.03850590902383731,6.3852599498388605,6.18048811614135,9.73524948276977,37.234545454545454,0.3598977289562494,0.040117951647839045,0.4291994294627611,0.3284919754150746,5.785231559113314,1.4119480519480518,16.138396522189375,99.94258253568721,15.79827630338483,451.493955188537,28.578684567746354,3.832396318450655,0,-5.889160092920065e-08,10.477341082994826,570232,E8_ablation
orch_no_reserve,2,550,36,6,40.0,0.2,148774,0.9634546358906798,0.036545364109320175,6.3548490351999245,6.1416581658122595,9.718636309789531,37.230389610389615,0.36101387720055966,0.042383005939612146,0.42535267702729684,0.32812139074277274,5.758090898964141,1.4436363636363636,17.81484179142375,105.08777144238557,15.842778905120454,452.85744502088556,28.58447042232724,3.63944543198974,0,-5.66524249734357e-08,10.684169249987463,568064,E8_ablation
orch_no_reserve,3,550,36,6,40.0,0.2,148559,0.9627555382036767,0.03724446179632335,6.359823640081186,6.154940061277982,9.71741625856157,37.149610389610395,0.3596548431065252,0.040732171988202864,0.4291292420100068,0.32822102058749575,5.7452706287775746,1.4119480519480518,16.707968517111862,104.16852096863295,15.906904541707025,455.6975595690023,28.64778363220754,3.7466627028021655,0,-6.072696123737842e-08,10.692130957992049,568057,E8_ablation
orch_no_reserve,4,550,36,6,40.0,0.2,148727,0.9613183887256517,0.038681611274348306,6.383473196965633,6.183658097715427,9.732150001896905,37.1361038961039,0.35970823670948043,0.04245874745463486,0.42710673903738455,0.3287893499666456,5.750761197752368,1.4155844155844155,18.48698830283541,108.60029386278562,15.738096680827608,447.5932445933639,28.440112783055206,3.7294256677785533,0,-6.160553311929107e-08,11.02339641697472,569495,E8_ablation
orch_no_reserve,5,550,36,6,40.0,0.2,148738,0.9605884172168511,0.039411582783148894,6.37806382701875,6.174429420429321,9.731411938391586,37.110649350649346,0.35914473433937466,0.04109331459864715,0.4293466186091012,0.3280262089874001,5.625429442244102,1.4059740259740259,17.36660725835791,98.05576214971525,15.74389577418559,449.89811275374575,28.57603475065042,3.8528222154840743,0,-5.833862815052271e-08,10.965235624986235,568184,E8_ablation
orch_topups_only,0,550,36,6,40.0,0.2,149106,0.9424838705350556,0.0575161294649444,6.44175724305893,6.2849921269975315,9.754006440734786,36.5012987012987,0.3529164359073621,0.04280270306228153,0.4367217847846954,0.3269350920637678,4.9394559899911625,1.378961038961039,19.75217800320705,92.56685222262321,15.69989245485869,470.55473000508897,29.971844161229594,3.291164342653932,0,-6.579466571565717e-08,11.112484042008873,568401,E8_ablation
orch_topups_only,1,550,36,6,40.0,0.2,149094,0.9442968865279622,0.055703113472037775,6.368814815486305,6.13455677334908,9.740888148224428,36.568571428571424,0.35368769349115764,0.04178868725619307,0.437049302305582,0.3263730627069655,5.077493513788624,1.383896103896104,18.548446795250545,87.9394259194449,15.603803220361126,464.87245227163623,29.792252933889376,3.3524792892662703,0,-6.352638592943549e-08,10.778047208994394,565821,E8_ablation
orch_topups_only,2,550,36,6,40.0,0.2,148774,0.9453399115436837,0.05466008845631629,6.3641168305214295,6.156328076346835,9.726911769588769,36.53038961038961,0.35425870206476806,0.04337820772926657,0.43470334226465257,0.32567494290988525,4.962178232412584,1.391948051948052,20.144067620177093,99.23717032222281,15.603306167607757,464.91588448370516,29.795985510357028,3.1509377115697013,0,-6.443951861001551e-08,10.890236334002111,564106,E8_ablation
orch_topups_only,3,550,36,6,40.0,0.2,148559,0.9461224160098008,0.05387758399019918,6.3639137190552075,6.149366271623876,9.72690116286787,36.50779220779221,0.3536743552661287,0.041069738745684516,0.43814484117051294,0.3260025608475744,5.135253236739642,1.3683116883116884,18.018717003719733,88.89333906009661,15.645582823664686,464.92828617115254,29.716265057759717,3.1832214079518164,0,-6.599293556064367e-08,9.375729291990865,564462,E8_ablation
orch_topups_only,4,550,36,6,40.0,0.2,148727,0.9439375500077323,0.05606244999226771,6.386228610825857,6.1826261473839015,9.736678577607575,36.464675324675326,0.3533446899040361,0.042165796737558894,0.43737446021948373,0.32590025727617955,4.955747941596534,1.3805194805194805,19.085645500248884,91.28473262239957,15.573136843517222,464.05713124561925,29.798565048813316,3.212630507999728,0,-6.628033588640392e-08,9.280799500003923,565674,E8_ablation
orch_topups_only,5,550,36,6,40.0,0.2,148738,0.9443047506353454,0.05569524936465463,6.382688633493696,6.171303552639438,9.740368306118084,36.48155844155844,0.3533036686824067,0.04081718850574987,0.4388943057477653,0.3254362914447275,4.953092072239211,1.3781818181818182,17.84766825477818,86.0471257574524,15.540974363194993,462.62496984364145,29.768080110810548,3.2479220001746976,0,-6.322079570963979e-08,9.19005487501272,564980,E8_ablation
