,sessions,energy_kwh,users,mean_energy,mean_connected_h,mean_idle_h,temp_c,precip_mm,holiday,dow,stations
2015-10-29,76,637.559893,69,8.388945960526316,2.835559210526316,0.7252156432748539,18.417105263157897,0.0,False,3,22
2015-10-30,101,731.235263,87,7.2399530990099015,2.5772167216721673,0.7340456545654566,20.985148514851485,0.0,False,4,22
2015-10-31,71,561.569259,64,7.909426183098591,2.8092605633802816,0.9851291079812206,22.064788732394366,0.0,False,5,22
2015-11-01,66,530.548236,64,8.038609636363637,2.5069107744107746,0.6619739057239058,19.272727272727273,0.0,False,6,22
2015-11-02,81,676.615737,73,8.353280703703703,2.8304526748971193,0.7582544581618655,14.186419753086419,0.7382716049382716,False,0,22
2015-11-03,95,716.572192,89,7.542865178947368,2.5098508771929824,0.5252339181286549,14.342105263157896,0.0,False,1,22
2015-11-04,99,787.299757,85,7.952522797979798,2.5910578002244673,0.5996745230078563,13.99090909090909,0.0,False,2,22
2015-11-05,75,711.186734,66,9.482489786666667,3.2349814814814812,0.9035444444444445,15.508,0.0,False,3,22
2015-11-06,98,775.296736,86,7.91119118367347,2.9002692743764173,0.9221513605442178,15.391836734693879,0.0,False,4,22
2015-11-07,76,579.695371,70,7.627570671052632,2.4892397660818713,0.7202704678362574,16.075,0.0,False,5,22
2015-11-08,75,592.025074,65,7.893667653333334,2.4674222222222224,0.5897185185185185,13.256,0.2826666666666667,False,6,22
2015-11-09,93,781.181354,74,8.399799505376345,2.785337514934289,0.7276314217443249,10.573118279569892,0.867741935483871,False,0,22
2015-11-10,98,702.151283,83,7.164809010204082,2.3711026077097506,0.5371825396825397,11.496938775510204,0.0,False,1,22
2015-11-11,79,620.255444,69,7.8513347341772155,2.4317369901547115,0.41123769338959215,13.724050632911393,0.0,True,2,22
2015-11-12,97,821.717089,82,8.471310195876288,2.7264576174112256,0.6162628865979382,13.639175257731958,0.0,False,3,22
2015-11-13,93,838.469115,79,9.015796935483872,2.5206332138590204,0.49992831541218635,14.949462365591398,0.0,False,4,22
2015-11-14,83,577.195309,75,6.95416034939759,2.2364859437751003,0.66,14.959036144578311,0.0,False,5,22
2015-11-15,70,542.885042,65,7.7555006,2.721861111111111,0.8382896825396826,11.95,0.3728571428571429,False,6,22
2015-11-16,103,813.806418,90,7.901033184466019,2.5591370010787484,0.6025728155339806,11.032038834951456,0.0,False,0,22
2015-11-17,105,751.155694,97,7.1538637523809525,2.227537037037037,0.45757671957671964,13.160952380952383,0.0,False,1,22
2015-11-18,85,797.329976,81,9.38035265882353,3.0420098039215686,0.7560915032679739,13.734117647058824,0.0,False,2,22
2015-11-19,95,729.595924,85,7.679957094736841,2.763538011695906,0.6032309941520468,15.194736842105263,0.0,False,3,22
2015-11-20,84,908.235331,75,10.812325369047619,3.4253472222222223,0.930218253968254,15.930952380952382,0.0,False,4,22
2015-11-21,80,629.171957,73,7.8646494625,2.487253472222222,0.6261076388888889,15.915000000000001,0.0,False,5,22
2015-11-22,70,557.590092,61,7.965572742857144,2.4046825396825398,0.48896825396825394,16.924285714285716,0.0,False,6,22
2015-11-23,92,859.865292,84,9.346361869565216,2.9527204106280194,0.7920289855072463,13.0,0.0,False,0,22
2015-11-24,85,681.652672,77,8.019443200000001,2.8987189542483662,0.8441437908496733,11.050588235294118,0.19411764705882353,False,1,22
2015-11-25,85,690.270674,75,8.12083145882353,2.68187908496732,0.6877777777777777,9.092941176470587,0.0,False,2,22
2015-11-26,33,290.1767,29,8.793233333333333,3.078939393939394,1.035462962962963,8.678787878787878,0.0,True,3,22
2015-11-27,77,562.150311,64,7.30065338961039,2.412417027417028,0.716046176046176,9.083116883116883,0.0,False,4,22
2015-11-28,67,624.196576,59,9.31636680597015,3.0705887230514097,1.0066210613598674,9.917910447761194,0.0,False,5,22
2015-11-29,60,575.682416,52,9.594706933333333,3.8217222222222222,1.523476851851852,11.036666666666667,0.0,False,6,22
2015-11-30,86,702.710463,78,8.171051895348837,2.742719638242894,0.6205200258397933,10.018604651162791,0.1430232558139535,False,0,22
2015-12-01,98,793.186107,86,8.093735785714285,2.9719302721088434,0.899858276643991,11.139795918367348,0.0,False,1,22
2015-12-02,98,752.243557,85,7.675954663265307,2.689450113378685,0.8653344671201814,12.505102040816327,0.0,False,2,22
2015-12-03,101,772.9949750000001,83,7.653415594059407,2.73215896589659,0.8490511551155115,11.758415841584158,0.7811881188118812,False,3,22
2015-12-04,93,794.289725,82,8.540749731182796,2.6952628434886496,0.7068608124253286,12.350537634408601,0.0,False,4,22
2015-12-05,86,599.335655,74,6.969019244186046,2.2678003875968993,0.5646543927648578,11.713953488372093,0.0,False,5,22
2015-12-06,70,718.147,63,10.259242857142858,2.8931825396825395,0.7212619047619048,14.532857142857143,0.16714285714285712,False,6,22
2015-12-07,91,869.393461,84,9.553774296703297,3.0757356532356535,0.8978601953601953,14.75054945054945,0.0,False,0,22
2015-12-08,90,625.035714,85,6.944841266666667,2.5002500000000003,0.6071111111111112,13.983333333333333,0.0,False,1,22
2015-12-09,100,811.881395,93,8.11881395,2.6802527777777776,0.7023388888888888,14.742,0.0,False,2,22
